AGLOMERADO_NOM,NIVEL_ED,tasa_actividad,tasa_empleo,tasa_desocupacion
Gran San Juan,1,11.848505139846504,10.98389244953973,7.297230157744379
Gran San Juan,2,38.008725297353166,36.82331873775634,3.1187748347860915
Gran San Juan,3,30.2148122370211,27.7398842101933,8.19110841203694
Gran San Juan,4,59.43546230512934,55.75053663966002,6.19987718199561
Gran San Juan,5,44.480751481227855,39.65224640485902,10.855268662460885
Gran San Juan,6,77.14477211796248,74.32044980637474,3.6610676706245777
Gran San Juan,7,21.099716343006765,21.099716343006765,0.0
Partidos del GBA,1,21.60278899783883,20.142847368371385,6.758116415493852
Partidos del GBA,2,53.30213514969018,48.524749820793794,8.962840448098177
Partidos del GBA,3,40.44063749512759,34.21329267066919,15.398730609053048
Partidos del GBA,4,71.58908327100384,64.03089942584135,10.557732408097225
Partidos del GBA,5,66.25103787499256,56.822893858232405,14.230937837607737
Partidos del GBA,6,80.07962690804466,77.75479411475611,2.903151379511499
Partidos del GBA,7,27.565712681550213,23.983835936230257,12.993956610878099
